CUST #,DESCRIPTION,ADDR1,CITY,ST,ZIP CODE,ROUTE,Milk-CD Half Pints,Milk-5Gal,Milk Gals-Country Dairy,Milk Gals-Cedar Cr,Milk Hgls-Country Dairy,Milk Pints-Country Dairy,Milk Qts-Country Dairy,Mix-Country Dairy,WF Gallons,WF Hgls,TOTAL CASES
6051,1051 RBM - Marathon,1051 North Ave,Battle Creek,MI,49017,110,0,0,4,0,1,4,3,0,0,0,12
5056,56 Exit Truck Stop,60902 M-51,Paw Paw,MI,,113,0,0,2,0,1,3,1,0,0,0,7
2572,7-Eleven #36939B,8976 Tittabasassee Rd,Saginaw,MI,48603-1428,482,0,0,0,0,3,3,4,0,0,0,10
10049,A & K Dawn Donuts,132 Perry Road,Grand Blanc,MI,48439-1818,241,0,0,0,0,0,6,0,0,0,0,6
20006,AD Bos Vending,308 Garden Avenue,Holland,MI,49424-2206,115,0,0,0,0,0,147,0,0,0,0,147
11336,Admiral Bay City #5795,314 S. Euclid Ave.,Bay City,MI,48706-1428,482,0,0,1,0,0,1,2,0,0,0,4
11262,Admiral Edmore #5870,1102 E. Main St.,Edmore,MI,48829,765,0,0,1,0,1,2,1,0,0,0,5
71057,Affogato's (KEY #50 ),11233 68TH Ave. Suite A,Allendale,MI,49401-9769,119,0,0,0,0,0,0,0,2,0,0,2
11581,AGO #01 Sparta,560 E. Division,Sparta,MI,49345-1320,103,0,0,4,0,0,2,2,0,0,0,8
11585,AGO #03 D 36th St Citgo,150 36TH St SW,Wyoming,MI,49548-1320,107,0,0,1,0,1,2,1,0,0,0,5
11587,AGO #04 Belding AGO,1131 West State,Belding,MI,48809-1320,115,,0,1,0,1,2,1,0,0,0,5
11589,AGO #05 Cedar Springs Cit,4010 17 Mile Rd,Cedar Springs,MI,49319-1320,106,0,0,3,0,1,2,2,0,0,0,8
82515,AGO #07 Paw Paw Citgo,109 Ampy Rd,Paw Paw,MI,49079-1320,113,0,0,2,0,1,1,1,0,0,0,5
70031,AGO #08 D Port Sheldon Ci,2805 Port Sheldon,Hudsonville,MI,49426-1320,102,0,0,3,0,2,2,1,0,0,0,8
82500,AGO #09 D Hudsonville Cit,4640 32nd Ave.,Hudsonville,MI,49426-1320,102,0,0,2,0,2,2,1,0,0,0,7
82512,AGO #12 Southtown Citgo,2501 Niles Ave,St Joseph,MI,49085-1320,117,0,0,2,0,1,2,1,0,0,0,6
11577,AGO #13 D Ballpark Citgo,4558 West River Dr,Comstock Park,MI,49321-1320,106,0,0,3,0,1,2,1,0,0,0,7
82533,AGO #14 D Kentwood BP,6045 Kalamazoo SE,Kentwood,MI,49508-1320,107,0,0,2,0,3,2,0,0,0,0,7
11575,AGO #15 D Fruitridge Citg,3050 Fruitridge NW,Walker,MI,49503-1320,106,0,0,4,0,4,8,6,0,0,0,22
11603,AGO #17 D Cascade Citgo,6820 Cascade Rd SE,Grand Rapids,MI,49546-1320,115,0,0,4,0,2,1,0,0,0,0,7
11605,AGO #18 D 84th St Citgo,284 84th St. SW,Byron Center,MI,49315-1320,104,0,0,3,0,1,2,1,0,0,0,7
82513,AGO #19 Portage Citgo,7938 Oakland Ave.,Portage,MI,49024-1320,101,0,0,2,0,2,2,2,0,0,0,8
82514,AGO #20 Stadium Citgo,4710 Stadium Dr.,Kalamazoo,MI,49008-1320,101,0,0,4,0,1,3,1,0,0,0,9
82503,AGO #21 Greenville Citgo,1325 W Washington,Greenville,MI,48838-1320,765,0,0,2,0,1,0,1,0,0,0,4
82506,AGO #22 D M46 Citgo,20222 Edgar Rd,Howard City,MI,49329-1320,765,0,0,2,0,2,4,3,0,0,0,11
11629,AGO #23 I/C Stanton,707 E. Main St.,Stanton,MI,48888-1320,765,0,0,1,0,1,6,4,0,0,0,12
82504,AGO #24 Carson City AGO,102 E Main St,Carson City,MI,48811-1320,243,0,0,4,0,2,4,2,0,0,0,12
191543,AGO #25 Sheridan AGO,7990 S Sheridan Rd,Sheridan,MI,48884-1320,765,0,0,8,0,4,9,5,0,0,0,26
82505,AGO #26 D Howard City,130 N Ensley,Howard City,MI,49329-1320,765,0,0,4,0,1,3,2,0,0,0,10
11580,AGO #30 Bella Vista Citgo,6051 Belding Rd,Rockford,MI,49341-1320,115,0,0,1,0,1,1,1,0,0,0,4
82509,AGO #31 Sunrise Citgo,7100 E. Fulton,Ada,MI,49301-1320,115,0,0,4,0,2,5,6,0,0,0,17
82516,AGO #32 D 44th Street BP,4405 S. Division,Wyoming,MI,49509-1320,107,0,0,3,0,2,2,2,0,0,0,9
11582,AGO #33 Cottage Market Ci,12795 Old 14 Mile Rd,Greenville,MI,48838-1320,765,0,0,3,0,1,4,1,0,0,0,9
82517,AGO #34 D Eastown Citgo,1560 Lake Dr. SE,Grand Rapids,MI,49506-2704,115,0,0,2,0,1,1,1,0,0,0,5
82518,AGO #35 Rockford Citgo,470 E. Division,Rockford,MI,49341-2704,106,0,0,2,0,2,2,1,0,0,0,7
82522,AGO #37 Sprinkle Road Cit,7025 Sprinkle Rd.,Portage,MI,49002-2704,101,,0,2,0,3,6,8,0,0,0,19
82521,AGO #38 D Avenue Citgo,5500 West D Ave.,Kalamazoo,MI,49009-2704,101,0,0,3,0,0,1,1,0,0,0,5
82519,AGO #39 9th Street Citgo,5233 S 9th Street,Kalamazoo,MI,49009-2704,101,0,0,2,0,1,2,3,0,0,0,8
11597,AGO #41 D Coopersville Ci,1169 W Randall,Coopersville,MI,49404-2704,119,0,0,4,0,2,4,3,0,0,0,13
11594,AGO #42 D Grandville BP,3935 28th St SW,Grandville,MI,49418-2704,102,0,0,1,0,1,4,3,0,0,0,9
82536,AGO #43 Gowen,12091 18 Mile,Gowen,MI,49326-2704,765,0,0,4,0,2,3,3,0,0,0,12
82537,AGO #44 Topp Stop AGO,8768 Belding Road,Rockford,MI,49341-2704,115,0,0,6,0,3,6,3,0,0,0,18
11600,AGO #45 D-M-91 Citgo,1220 N Lafayette,Greenville,MI,48838-2704,765,0,0,4,0,2,3,2,0,0,0,11
11610,AGO #47 D 76th Street Cit,250 76th Street SW,Kentwood,MI,49508-2704,104,0,0,2,0,3,3,2,0,0,0,10
11613,AGO #48 D Lansing Citgo,4019 S Martin L King Blvd,Lansing,MI,48910-2704,242,0,0,1,0,0,2,0,0,0,0,3
11611,AGO #49 D East 44th St Ci,1920 44th Street SE,Kentwood,MI,49508-2704,107,0,0,2,0,2,2,1,0,0,0,7
11616,AGO #50 D Wilson Leonard,1162 Wilson Ave,Grand Rapids,MI,49534,114,0,0,7,0,1,4,3,0,0,0,15
82546,AGO #52 East Lansing,100 E Saginaw St,East Lansing,MI,48823,244,0,0,1,0,1,2,1,0,0,0,5
82553,AGO #53 Russel Rd,232 E Bard Rd,Muskegon,MI,49445,662,0,0,4,0,2,4,1,0,0,0,11
82554,AGO #54 Whitehall,1845 White Lake Dr,Whitehall,MI,49461,662,0,0,4,0,1,3,1,0,0,0,9
82555,AGO #55 Fruitvale,4160 Fruitvale Rd,Montague,MI,49437,661,0,0,8,0,3,4,3,0,0,0,18
82556,AGO #56 Ravenna,3445 S Maple Island Rd,Ravenna,MI,49451,663,0,0,8,0,1,3,1,0,0,0,13
82557,AGO #57 New Era,4061 S Oceana Dr,New Era,MI,49446,661,0,0,3,0,0,2,1,0,0,0,6
10066,Ajooni Inc,2015 S M-33,West Branch,MI,48661,484,0,0,3,0,1,3,2,0,0,0,9
10562,All American North Cntry,1596 E 88th Street,Newaygo,MI,49337-2902,764,0,0,0,0,1,0,0,0,0,0,1
10561,All American North Cntry,11764 N Division,Sparta,MI,49345-2902,103,0,0,2,0,1,0,0,0,0,0,3
10560,All American North Cntry,17645 Tyrone Ave,Kent City,MI,49330-2902,103,0,0,3,0,1,1,0,0,0,0,5
10159,Almont Pastry Shop,102 N Main St,Almont Township,MI,48003,1005,0,0,0,0,0,3,0,0,0,0,3
10079,Alpena Ella White Element,201 N Ripley Blvd,Alpena,MI,49707,372,8,0,0,0,0,0,0,0,0,0,8
10076,Alpena High School,3303 S Third,Alpena,MI,49707-1818,372,26,0,0,0,0,0,0,0,0,0,26
10080,Alpena Hinks Elementary,7667 US-23,Alpena,MI,49707,372,14,0,0,0,0,0,0,0,0,0,14
10077,Alpena Thunder Bay Jr Hig,3500 S Third,Alpena,MI,49707-1818,372,23,0,0,0,0,0,0,0,0,0,23
10021,Alpine Chocolat Haus - Ki,505 S Wisconsin Ave,Gaylord,MI,49735,371,0,0,0,0,0,0,0,20,0,0,20
21554,Anew Borculo Fuel,6398 96th Avenue,Zeeland,MI,49464-2704,663,0,0,0,0,1,5,2,0,0,0,8
11871,Anna's House Northland,5488 Northland Dr NE,Grand Rapids,MI,49525,106,,0,8,0,0,0,0,0,0,0,8
11818,Antrim County Commission,308 East Cayga St,Bellaire,MI,49615,371,0,0,0,0,13,0,0,0,0,0,13
11844,Apple Corner Store,2381 E Apple Ave,Muskegon,MI,49442,660,0,0,5,0,8,3,2,0,0,0,18
11819,Ashton General Store,10989 210th Ave,Reed City,MI,49677,766,0,0,0,0,0,0,1,0,0,0,1
21672,B & B Grocery,337 E St Joseph Street,Watervliet,MI,49098,117,0,0,7,0,1,0,0,0,0,0,8
21500,Bangor High School,801 W Arlington,Bangor,MI,49013-7911,113,0,0,8,0,0,0,0,0,0,0,8
21516,Bangor John Glen High,3201 Kiesel,Bay City,MI,48706-6610,482,13,0,0,0,0,0,0,0,0,0,13
22710,Barton City General Store,1866 W Trask Lake Rd,Barton City,MI,48705-6610,372,0,0,3,0,1,1,1,0,0,0,6
22735,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,1006,0,0,0,0,1,1,2,0,0,0,4
22737,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,1001,0,0,1,0,1,2,0,0,0,0,4
22736,Bartos,13321 Stark Rd,Livonia,MI,48150-9738,1003,0,0,0,0,2,2,1,0,0,0,5
42640,Bartos 2,13321 Stark Rd,Livonia,MI,48150-9738,1002,0,0,0,0,1,6,4,0,0,0,11
22734,Bartos 3,13321 Stark Rd,Livonia,MI,48150-9738,1009,0,0,0,0,0,4,3,0,0,0,7
22733,Bartos Distributing,13321 Stark Rd,Livonia,MI,48150-9738,1004,0,0,1,0,4,14,15,0,0,0,34
22264,Bay City Trinity Lutheran,2515 Broadway,Bay City,MI,48708,482,0,0,2,0,0,0,0,0,0,0,2
22492,Beal City Village Store,2988 W Beal City Road,Mt Pleasant,MI,48858-1818,481,0,0,4,0,1,1,2,0,0,0,8
20023,Bear Lake Market,11740 Chippewa Hwy,Bear Lake,MI,49614-2206,766,0,0,0,0,1,1,1,0,0,0,3
20033,Beards Country Store,11289 Silver Lake Rd,Byron,MI,48418-2902,243,0,0,3,0,1,0,0,0,0,0,4
20027,Beechtree Party Store-Sun,540 S. Beech Street,Grand Haven,MI,49417-2902,660,0,0,1,0,2,2,1,0,0,0,6
21275,Bent Tree Markets,58878 M-51 South,Dowagiac,MI,49047-2704,107,0,0,0,0,2,4,2,0,0,0,8
20085,Besons Corner Store,1491 Huron Road,Linwood,MI,48634-6610,484,0,0,7,0,1,1,0,0,0,0,9
20166,Big Rapids Brookside Elem,210 Escott,Big Rapids,MI,49307-5394,764,27,0,0,0,0,0,0,0,0,0,27
20165,Big Rapids Eastwood Child,410 N Third,Big Rapids,MI,49307-5394,764,25,0,0,0,0,0,0,0,0,0,25
20161,Big Rapids High School,21175 15 Mile Rd,Big Rapids,MI,49307-5394,764,13,0,0,0,0,0,0,0,0,0,13
20170,Big Rapids Hillcrest ECC,501 W Bridge St,Big Rapids,MI,49307,764,4,0,0,0,0,0,0,0,0,0,4
20171,Big Rapids Mecosta- Osceo,15700 190th Ave,Big Rapids,MI,49307-5394,764,8,0,0,0,0,0,0,0,0,0,8
20162,Big Rapids Middle School,500 N Warren,Big Rapids,MI,49307-5394,764,37,0,0,0,0,0,0,0,0,0,37
20163,Big Rapids Riverview Elem,509 Willow,Big Rapids,MI,49307-5394,764,22,0,0,0,0,0,0,0,0,0,22
20214,Big Top Ice Cream Shop,1008 E Center,Ithaca,MI,48847-1320,240,0,0,0,0,0,0,0,16,0,0,16
20226,Birch Run High School,12450 Church Street,Birch Run,MI,48415-6610,480,14,0,0,0,0,1,0,0,0,0,15
20227,Birch Run Marshall Green,8225 Main Street,Birch Run,MI,48415-6610,480,32,0,0,0,0,0,0,0,0,0,32
21363,Bird Farm Meats Inc.,7237 104th Street,Howard City,MI,49329-2206,765,0,0,5,0,1,1,2,0,0,0,9
21406,Blarney Castle #430 Fife,620 Boyd St.,Fife Lake,MI,49633,371,0,0,2,0,2,0,0,0,0,0,4
21412,Blarney Castle #650 Louie,6977 M-68,Alanson,MI,49706,372,0,0,25,0,6,2,4,0,0,0,37
21413,Blarney Castle #651 Louie,1231 M-75 S,Boyne City,MI,49712,372,0,0,3,0,1,1,2,0,0,0,7
21415,Blarney Castle #653 Louie,5170 N State St,Oscoda,MI,48750,484,0,0,0,0,0,1,1,0,0,0,2
21416,Blarney Castle #654 Louie,2394 E Mitchell,Petoskey,MI,49770,372,0,0,1,0,4,0,1,0,0,0,6
21417,Blarney Castle #655 Louie,1025 N St. Helen St,St Helen,MI,48656,371,0,0,1,0,3,1,0,0,0,0,5
21528,Bob's CountryStore,2103 Horton Rd,Jackson,MI,49203-1818,245,0,0,0,0,0,1,0,0,0,0,1
21563,Bombshell Treat bar,2688 Coolidge Hwy,Berkley,MI,48220-3080,553,0,0,0,0,0,0,0,2,0,0,2
21553,Borculo Express,6210 96th Ave,Zeeland,MI,49464-2902,663,0,0,1,0,0,0,0,0,0,0,1
21552,Borland Gas and Grocery,4981 Northland Dr.,Morley,MI,49336-2902,764,0,0,2,0,0,2,2,0,0,0,6
22426,Bowerman's Downtown 8th,4 E 8TH ST,Holland,MI,49423-4308,115,0,0,11,0,0,3,0,0,0,0,14
20352,Boyne Marathon,470 N Lake Street,Boyne City,MI,49712-2206,372,0,0,5,0,2,2,3,0,0,0,12
20143,Brandywine Middle/High S,1700 Bell Rd.,Niles,MI,49120-5394,107,0,0,0,0,0,4,0,0,0,0,4
10022,Breslin Center - UDIM,534 Birch Road,East Lansing,MI,48824,244,0,0,0,0,0,28,0,0,0,0,28
20205,Bridge Street Market IC,613 Bridge St. NW,Grand Rapids,MI,49504-2206,114,0,0,9,0,0,0,0,0,0,0,9
20201,Brinks Ice Cream Exprs(KE,137 E. Main,Caledonia,MI,49316-4308,104,0,0,0,0,0,0,0,12,0,0,12
22295,Broadmoor Convenience Sto,6773 Broadmoor Ave.,Caledonia,MI,49316-2902,104,0,0,1,0,1,6,1,0,0,0,9
20103,Buchanan High School,401 W. Chicago St,Buchanan,MI,49107-7911,117,42,0,0,0,0,3,0,0,0,0,45
20105,Buchanan Middle School,610 W Fourth St,Buchanan,MI,49107-7911,117,40,0,0,0,0,0,0,0,0,0,40
20101,Buchanan Moccasin School,410 Moccasin Ave,Buchanan,MI,49107-7911,117,32,0,0,0,0,0,0,0,0,0,32
20102,Buchanan Ottawa School,109 Ottawa St,Buchanan,MI,49107-7911,117,31,0,0,0,0,0,0,0,0,0,31
22761,Buk's Party Store,106 N Main St,Ovid,MI,48866-1818,240,0,0,0,0,1,2,1,0,0,0,4
20720,Burton Meat Farm,435 Burton SW,Grand Rapids,MI,49507-2902,114,0,0,4,0,1,0,0,0,0,0,5
20714,Busy Bee market,10747 M-32 East,Johannesburg,MI,48791-6610,372,0,0,1,0,2,1,0,0,0,0,4
30126,Cannonsburg Grist Mill,8000 Cannonsburg Road,Cannonsburg,MI,49317-2902,115,0,0,3,0,1,1,0,0,0,0,5
32493,Carp Lake General Store,6420 E Gill Rd,Carp Lake,MI,49718-1818,372,0,0,1,0,2,0,1,0,0,0,4
30501,Carson City - Crystal Hig,213 E Sherman St,Carson City,MI,48811,243,0,0,0,0,0,1,0,0,0,0,1
31720,Cedar Lake Grocery,3448 N US 23,Greenbush,MI,48738-6610,484,0,0,4,0,1,0,0,0,0,0,5
31734,Cedar Springs Beach Elem,204 E. Muskegon Street,Cedar Springs,MI,49319-0009,106,43,0,0,0,0,0,0,0,0,0,43
31736,Cedar Springs ECC,204 E. Muskegon,Cedar Springs,MI,49319-0009,106,17,0,0,0,0,0,0,0,0,0,17
31732,Cedar Springs Middle Sch,4873 16 Mile,Cedar Springs,MI,49319-0009,106,32,0,0,0,0,0,0,0,0,0,32
31733,Cedar Springs Cedar View,204 E. Muskegon Street,Cedar Springs,MI,49319-0009,106,38,0,0,0,0,0,0,0,0,0,38
31735,Cedar Springs CedarTrails,204 E. Muskegon Street,Cedar Springs,MI,49319-0009,106,35,0,0,0,0,0,0,0,0,0,35
31731,Cedar Springs High School,204 E. Muskegon Street,Cedar Springs,MI,49319-0009,106,43,0,0,0,0,0,0,0,0,0,43
31664,Central Montcalm Athle(KE,1480 Sheridan SW,Stanton,MI,48888-0009,765,0,0,0,0,0,6,0,0,0,0,6
31661,Central Montcalm High (KE,1480 Sheridan SW,Stanton,MI,48888-0009,765,22,0,0,0,0,0,0,0,0,0,22
31662,Central Montcalm Midd (KE,1480 Sheridan SW,Stanton,MI,48888-0009,765,20,0,0,0,1,0,0,0,0,0,21
31665,Central Montcalm Sheridan,289 St Clair,Sheridan,MI,48884-0009,765,31,0,0,0,0,0,0,0,0,0,31
31663,Central Montcalm Up Elem,1488 Sheridan SW,Stanton,MI,48888-0009,765,25,0,0,0,0,0,0,0,0,0,25
30161,Chappel Dam Grocery,4001 Pratt Lake Road,Gladwin,MI,48624-1428,484,0,0,1,0,0,0,1,0,0,0,2
30080,Cheema Pump & Pantry,2110 Evanston,Muskegon,MI,49442-2902,660,0,0,2,0,1,1,0,0,0,0,4
32528,Cherry Hill Supermarket,424 N. State St.,Shelby,MI,49455-9738,662,0,0,14,0,6,4,3,0,0,0,27
30676,Chillz Fort Wayne,5930A West Jefferson Blvd,Fort Wayne,IN,46962,890,0,0,2,0,0,0,0,0,0,0,2
30970,Choco Mania Cafe,44621 Mound Rd,Sterling Heights,MI,48314,554,0,0,0,0,0,0,0,6,0,0,6
30977,Choco Mania Cafe-Birmingh,280 E Merrill St,Birmingham,MI,48009,554,0,0,0,0,0,0,0,6,0,0,6
32509,Cindy's Donuts And Ice Cr,4020 28th Street SE,Kentwood,MI,49512-4308,107,,0,0,0,0,5,0,0,0,0,5
30733,Clem's Market,1196 Shetter Rd,Muskegon,MI,49444-2902,660,0,0,3,0,0,0,0,0,0,0,3
